old sampleid,sampleid,sitename,sitecode,species,role,delta2h,ampl,p_h
UH-S18-DET-3,UH-S18-DET-3,Underhill Farm,UH,detritus,det,-109.13,3422,2.5
UH-S18-GOL-1,UH-S18-GOL-1,Underhill Farm,UH,goldenrod,terpp,-161.83,5222,6.1
UH-S18-GOL-2,UH-S18-GOL-2,Underhill Farm,UH,goldenrod,terpp,-161.77,5909,6.1
UH-S18-GOL-3,UH-S18-GOL-3,Underhill Farm,UH,goldenrod,terpp,-169.39,4862,6
UH-S18-TER-1-1,UH-S18-TER-1-1,Underhill Farm,UH,european garden snail,terbase,-85.43,6583,6.5
UH-S18-TER-1-1,UH-S18-TER-1-2,Underhill Farm,UH,european garden snail,terbase,-85.43,6583,6.5
UH-S18-TER-2-1,UH-S18-TER-2-1,Underhill Farm,UH,caterpillar,terbase,-147.97,7228,6.9
UH-S18-TER-2-2,UH-S18-TER-2-2,Underhill Farm,UH,caterpillar,terbase,-148.53,5631,6.9
VN-S18-212-1,VN-S18-212-1,VanDenNest,VN,creek chub,cc,-106.85,5761,6.8
VN-S18-212-2,VN-S18-212-2,VanDenNest,VN,creek chub,cc,-103.93,5438,6.6
VN-S18-630-18,VN-S18-630-18,VanDenNest,VN,blacknose dace,invertivore,-102.74,6501,6.6
VN-S18-ALG-1,VN-S18-ALG-1,VanDenNest,VN,algae,algae,-170.69,14590,4
VN-S18-ALG-2,VN-S18-ALG-2,VanDenNest,VN,algae,algae,-156.83,11685,2.8
VN-S18-ALG-3,VN-S18-ALG-3,VanDenNest,VN,algae,algae,-173.63,15007,3.6
VN-S18-DET-1,VN-S18-DET-1,VanDenNest,VN,detritus,det,-115.11,5843,4.1
VN-S18-DET-2,VN-S18-DET-2,VanDenNest,VN,detritus,det,-115.28,5637,4.1
VN-S18-DET-3,VN-S18-DET-3,VanDenNest,VN,detritus,det,-101.3,5630,4.6
VN-S18-GOL-1,VN-S18-GOL-1,VanDenNest,VN,goldenrod,terpp,-103.72,3774,5.7
VN-S18-GOL-2,VN-S18-GOL-2,VanDenNest,VN,goldenrod,terpp,-103.22,4465,5.7
VN-S18-GOL-3,VN-S18-GOL-3,VanDenNest,VN,goldenrod,terpp,-99.27,4765,6
VN-S18-TER-1-1,VN-S18-TER-1-1,VanDenNest,VN,european garden snail,terbase,-86.94,6565,6.3
VN-S18-TER-1-1,VN-S18-TER-1-2,VanDenNest,VN,european garden snail,terbase,-86.94,6565,6.3
VN-S18-TER-2-1,VN-S18-TER-2-1,VanDenNest,VN,caterpillar,terbase,-105.49,6003,6.9
VN-S18-TER-2-2,VN-S18-TER-2-2,VanDenNest,VN,caterpillar,terbase,-107.46,5443,7
WA-S18-163-2,WA-S18-163-2,Watson,WA,white sucker,detritivore,-125.62,6440,6.5
WA-S18-212-11,WA-S18-212-11,Watson,WA,creek chub,cc,-103.56,6139,6.6
WA-S18-212-17,WA-S18-212-17,Watson,WA,creek chub,cc,-101.56,5328,6.5
WA-S18-212-20,WA-S18-212-20,Watson,WA,creek chub,cc,-97.44,5911,6.6
WA-S18-212-24,WA-S18-212-24,Watson,WA,creek chub,cc,-103.08,5609,6.6
WA-S18-212-25,WA-S18-212-25,Watson,WA,creek chub,cc,-99.39,5557,6.5
WA-S18-212-26,WA-S18-212-26,Watson,WA,creek chub,cc,-101.7,5475,6.5
WA-S18-212-29,WA-S18-212-29,Watson,WA,creek chub,cc,-104.32,5575,7
WA-S18-212-4,WA-S18-212-4,Watson,WA,creek chub,cc,-102.2,6919,6.7
WA-S18-212-5,WA-S18-212-5,Watson,WA,creek chub,cc,-94.99,4924,6.5
WA-S18-212-8,WA-S18-212-8,Watson,WA,creek chub,cc,-99.18,5264,6.7
WA-S18-341-9,WA-S18-341-9,Watson,WA,johnny darter,invertivore,-125.19,5721,6.8
WA-S18-630-26,WA-S18-630-26,Watson,WA,blacknose dace,invertivore,-119.56,5247,6.8
WA-S18-ALGAE-1,WA-S18-ALGAE-1,Watson,WA,algae,algae,-175.72,2209,0.7
WA-S18-ALGAE-2,WA-S18-ALGAE-2,Watson,WA,algae,algae,-186.04,1729,0.6
WA-S18-ALGAE-3,WA-S18-ALGAE-3,Watson,WA,algae,algae,-201.05,5189,1.5
WA-S18-AQU-1,WA-S18-AQU-1,Watson,WA,mayfly/caddisfly,aqbase,-111.26,4317,5.1
WA-S18-AQU-2,WA-S18-AQU-2,Watson,WA,mayfly/caddisfly,aqbase,-114.45,5871,5.7
WA-S18-DET-1,WA-S18-DET-1,Watson,WA,detritus,det,-117.35,771,0.9
WA-S18-DET-2,WA-S18-DET-2,Watson,WA,detritus,det,-100.35,1128,1.1
WA-S18-DET-3,WA-S18-DET-3,Watson,WA,detritus,det,-100.6,1333,1.3
WA-S18-GOL-1,WA-S18-GOL-1,Watson,WA,goldenrod,terpp,-127.75,4563,5.9
WA-S18-GOL-2,WA-S18-GOL-2,Watson,WA,goldenrod,terpp,-132.85,4044,5.9
WA-S18-GOL-3,WA-S18-GOL-3,Watson,WA,goldenrod,terpp,-124.67,5631,5.9
WA-S18-TER-1,WA-S18-TER-1,Watson,WA,snails/caterpillars,terbase,-105.74,5097,6.2
WA-S18-TER-2,WA-S18-TER-2,Watson,WA,snails/caterpillars,terbase,-103.48,4542,6
WA-S18-TER-3,WA-S18-TER-3,Watson,WA,snails/caterpillars,terbase,-103.9,4829,6
WH-S18-163-3,WH-S18-163-3,Washington,WH,white sucker,detritivore,-133.01,5514,6
WH-S18-212-11,WH-S18-212-11,Washington,WH,creek chub,cc,-115.52,10209,9.9
WH-S18-212-2,WH-S18-212-2,Washington,WH,creek chub,cc,-92.48,5759,6.5
WH-S18-212-21,WH-S18-212-21,Washington,WH,creek chub,cc,-96.97,4886,6.6
WH-S18-212-22,WH-S18-212-22,Washington,WH,creek chub,cc,-95.96,6595,6.6
WH-S18-212-24,WH-S18-212-24,Washington,WH,creek chub,cc,-99.58,5400,6.5
WH-S18-212-25,WH-S18-212-25,Washington,WH,creek chub,cc,-101.26,6595,6.5
WH-S18-212-26,WH-S18-212-26,Washington,WH,creek chub,cc,-105.25,5552,6.6
WH-S18-212-27,WH-S18-212-27,Washington,WH,creek chub,cc,-100.26,5927,6.5
WH-S18-212-5,WH-S18-212-5,Washington,WH,creek chub,cc,-112.18,4715,6.6
WH-S18-212-6,WH-S18-212-6,Washington,WH,creek chub,cc,-119.75,6235,6.3
WH-S18-341-6,WH-S18-341-6,Washington,WH,johnny darter,invertivore,-126.26,5890,6
WH-S18-AQU-1,WH-S18-AQU-1,Washington,WH,caddisfly,aqbase,-134.83,5424,6.1
WH-S18-AQU-2,WH-S18-AQU-2,Washington,WH,caddisfly,aqbase,-132.72,5483,6
WH-S18-AQU-3,WH-S18-AQU-3,Washington,WH,caddisfly,aqbase,-135.82,6144,6
WH-S18-DET-1,WH-S18-DET-1,Washington,WH,detritus,det,-95.19,8237,5.2
WH-S18-DET-2,WH-S18-DET-2,Washington,WH,detritus,det,-94.16,7252,4.9
WH-S18-DET-3,WH-S18-DET-3,Washington,WH,detritus,det,-94.37,6113,4.5
WH-S18-TER-1-1,WH-S18-TER-1-1,Washington,WH,european garden snail,terbase,-90.87,6483,6.4
WH-S18-TER-1-2,WH-S18-TER-1-2,Washington,WH,european garden snail,terbase,-90.66,6869,6.4
WH-S18-TER-2-1,WH-S18-TER-2-1,Washington,WH,caterpillar,terbase,-104.31,6617,6.7
WH-S18-TER-2-1,WH-S18-TER-2-2,Washington,WH,caterpillar,terbase,-104.31,6617,6.7
WW-S18-212-1,WW-S18-212-1,Wardsville Woods,WW,creek chub,cc,-102.65,4437,6.6
WW-S18-212-2,WW-S18-212-2,Wardsville Woods,WW,creek chub,cc,-109.41,5490,6.5
WW-S18-212-3,WW-S18-212-3,Wardsville Woods,WW,creek chub,cc,-108.21,6431,6.6
WW-S18-212-MT1,WW-S18-212-MT1,Wardsville Woods,WW,creek chub,cc,-89.46,5655,6.6
WW-S18-212-MT14,WW-S18-212-MT14,Wardsville Woods,WW,creek chub,cc,-88.31,5936,7
WW-S18-212-MT4,WW-S18-212-MT4,Wardsville Woods,WW,creek chub,cc,-96.31,5409,6.5
WW-S18-212-MT5,WW-S18-212-MT5,Wardsville Woods,WW,creek chub,cc,-113.34,6340,6.9
WW-S18-212-MT6,WW-S18-212-MT6,Wardsville Woods,WW,creek chub,cc,-90.85,6601,6.8
WW-S18-212-MT7,WW-S18-212-MT7,Wardsville Woods,WW,creek chub,cc,-106.09,4977,6.5
WW-S18-212-MT8,WW-S18-212-MT8,Wardsville Woods,WW,creek chub,cc,-109.27,6654,6.6
WW-S18-630-2,WW-S18-630-2,Wardsville Woods,WW,blacknose dace,invertivore,-110.63,5502,6.8
WW-S18-ALGAE-1,WW-S18-ALG-1,Wardsville Woods,WW,algae,algae,-163.83,7777,1.9
WW-S18-ALGAE-2,WW-S18-ALG-2,Wardsville Woods,WW,algae,algae,-162.21,7481,1.8
WW-S18-CADDISFLY,WW-S18-CADDISFLY,Wardsville Woods,WW,caddisfly,aqbase,-94.41,6107,6.1
WW-S18-DET-1,WW-S18-DET-1,Wardsville Woods,WW,detritus,det,-93.15,2356,1.8
WW-S18-DET-2,WW-S18-DET-2,Wardsville Woods,WW,detritus,det,-93.75,2287,1.8
WW-S18-DET-3,WW-S18-DET-3,Wardsville Woods,WW,detritus,det,-103.1,6312,4.9
WW-S18-GOL-1,WW-S18-GOL-1,Wardsville Woods,WW,goldenrod,terpp,-148.68,4974,6
WW-S18-GOL-2,WW-S18-GOL-2,Wardsville Woods,WW,goldenrod,terpp,-155.14,5385,5.9
WW-S18-GOL-3,WW-S18-GOL-3,Wardsville Woods,WW,goldenrod,terpp,-154.98,5178,6
WW-S18-SNAILS-1,WW-S18-SNAILS-1,Wardsville Woods,WW,european garden snail,terbase,-80.19,6287,6
WW-S18-SNAILS-2,WW-S18-SNAILS-2,Wardsville Woods,WW,european garden snail,terbase,-87.09,6893,6.3
WW-S18-SNAILS-3,WW-S18-SNAILS-3,Wardsville Woods,WW,european garden snail,terbase,-86.95,6202,6.4
