old sampleid,sampleid,sitename,sitecode,species,role,delta2h,ampl,p_h
EP1-S18-ALG-2,EP1-S18-ALG-2,Perl 1,EP1,algae,algae,-107.4,8939,2.2
EP1-S18-ALG-3,EP1-S18-ALG-3,Perl 1,EP1,algae,algae,-106.2,9937,2.2
EP1-S18-CADDISFLY-1,EP1-S18-CADDISFLY-1,Perl 1,EP1,caddisfly,aqbase,-177.39,24210,7.2
EP1-S18-CADDISFLY-2,EP1-S18-CADDISFLY-2,Perl 1,EP1,caddisfly,aqbase,-176.37,23608,7.1
EP1-S18-DET-1,EP1-S18-DET-1,Perl 1,EP1,detritus,det,-99.99,26292,5.1
EP1-S18-DET-2,EP1-S18-DET-2,Perl 1,EP1,detritus,det,-97.66,27820,5.2
EP1-S18-DET-3,EP1-S18-DET-3,Perl 1,EP1,detritus,det,-100.34,21825,4.9
EP1-S18-GOL-1,EP1-S18-GOL-1,Perl 1,EP1,goldenrod,terpp,-108.26,16273,6
EP1-S18-GOL-2,EP1-S18-GOL-2,Perl 1,EP1,goldenrod,terpp,-99.74,16286,6
EP1-S18-GOL-3,EP1-S18-GOL-3,Perl 1,EP1,goldenrod,terpp,-107.22,15395,5.9
EP1-S18-MAYFLY,EP1-S18-MAYFLY,Perl 1,EP1,mayfly,aqbase,-111.11,14826,5.6
EP1-S18-snail-1,EP1-S18-SNAIL-1,Perl 1,EP1,european garden snail,terbase,-84.85,6585,6.6
EP1-S18-snail-2,EP1-S18-SNAIL-2,Perl 1,EP1,european garden snail,terbase,-80.44,5193,6.1
EP1-S18-snail-3,EP1-S18-SNAIL-3,Perl 1,EP1,european garden snail,terbase,-83.86,5714,6.5
EP2-S18-163-10,EP2-S18-163-10,Perl 2,EP2,white sucker,detritivore,-127.99,15700,6.7
EP2-S18-212-10,EP2-S18-212-10,Perl 2,EP2,creek chub,cc,-92.9,15925,6.7
EP2-S18-212-12,EP2-S18-212-12,Perl 2,EP2,creek chub,cc,-112.56,15025,6.9
EP2-S18-212-13,EP2-S18-212-13,Perl 2,EP2,creek chub,cc,-99.21,15072,6.7
EP2-S18-212-15,EP2-S18-212-15,Perl 2,EP2,creek chub,cc,-98.9,16983,6.6
EP2-S18-212-16,EP2-S18-212-16,Perl 2,EP2,creek chub,cc,-106.74,14878,6.8
EP2-S18-212-2,EP2-S18-212-2,Perl 2,EP2,creek chub,cc,-109.6,14973,6.6
EP2-S18-212-3,EP2-S18-212-3,Perl 2,EP2,creek chub,cc,-108.45,15553,6.7
EP2-S18-212-4,EP2-S18-212-4,Perl 2,EP2,creek chub,cc,-109.54,15233,6.8
EP2-S18-212-6,EP2-S18-212-6,Perl 2,EP2,creek chub,cc,-94.63,15468,6.6
EP2-S18-212-7,EP2-S18-212-7,Perl 2,EP2,creek chub,cc,-105.8,14659,6.6
EP2-S18-281-1,EP2-S18-281-1,Perl 2,EP2,brook stickleback,planktivore,-127.54,15576,7
EP2-S18-630-3,EP2-S18-630-3,Perl 2,EP2,blacknose dace,invertivore,-125.27,14734,6.9
EP2-S18-ALGAE-1,EP2-S18-ALGAE-1,Perl 2,EP2,algae,algae,-113.22,6106,1.9
EP2-S18-ALGAE-2,EP2-S18-ALGAE-2,Perl 2,EP2,algae,algae,-115.54,8156,2.3
EP2-S18-ALGAE-3,EP2-S18-ALGAE-3,Perl 2,EP2,algae,algae,-111.64,7821,2
EP2-S18-DET-1,EP2-S18-DET-1,Perl 2,EP2,detritus,terbase,-91.71,23871,4.5
EP2-S18-DET-2,EP2-S18-DET-2,Perl 2,EP2,detritus,terbase,-106.25,20682,4.5
EP2-S18-DET-3,EP2-S18-DET-3,Perl 2,EP2,detritus,terbase,-107.28,19671,4.1
EP2-S18-GOL-1,EP2-S18-GOL-1,Perl 2,EP2,goldenrod,terpp,-127.64,17155,5.9
EP2-S18-GOL-2,EP2-S18-GOL-2,Perl 2,EP2,goldenrod,terpp,-128.72,14143,5.9
EP2-S18-GOL-3,EP2-S18-GOL-3,Perl 2,EP2,goldenrod,terpp,-131.3,17049,6
EP3-S18-212-1,EP3-S18-212-1,Perl 3,EP3,creek chub,cc,-96.88,16886,6.7
EP3-S18-212-10,EP3-S18-212-10,Perl 3,EP3,creek chub,cc,-106,15261,6.7
EP3-S18-212-12,EP3-S18-212-12,Perl 3,EP3,creek chub,cc,-107.28,13504,6.4
EP3-S18-212-16,EP3-S18-212-16,Perl 3,EP3,creek chub,cc,-103.17,16000,6.7
EP3-S18-212-2,EP3-S18-212-2,Perl 3,EP3,creek chub,cc,-101.63,15097,7
EP3-S18-212-26,EP3-S18-212-26,Perl 3,EP3,creek chub,cc,-111.3,11682,5.8
EP3-S18-212-3,EP3-S18-212-3,Perl 3,EP3,creek chub,cc,-107.71,14157,6.5
EP3-S18-212-4,EP3-S18-212-4,Perl 3,EP3,creek chub,cc,-104.04,16119,6.5
EP3-S18-212-6,EP3-S18-212-6,Perl 3,EP3,creek chub,cc,-115.06,13087,6.4
EP3-S18-212-7,EP3-S18-212-7,Perl 3,EP3,creek chub,cc,-107.42,13378,6.3
EP3-S18-281-1,EP3-S18-281-1,Perl 3,EP3,brook stickleback,planktivore,-114.35,14704,6.5
EP3-S18-630-7,EP3-S18-630-7,Perl 3,EP3,blacknose dace,invertivore,-128.96,16728,7
EP3-S18-ALG-1,EP3-S18-ALG-1,Perl 3,EP3,algae,algae,-142.16,17058,4
EP3-S18-ALG-2,EP3-S18-ALG-2,Perl 3,EP3,algae,algae,-125.47,834,4.2
EP3-S18-ALG-3,EP3-S18-ALG-3,Perl 3,EP3,algae,algae,-100.26,12561,2.7
EP3-S18-DET-1,EP3-S18-DET-1,Perl 3,EP3,detritus,terbase,-103.16,12249,2.6
EP3-S18-DET-2,EP3-S18-DET-2,Perl 3,EP3,detritus,terbase,-99.56,8333,2.2
EP3-S18-DET-3,EP3-S18-DET-3,Perl 3,EP3,detritus,terbase,-105.25,16266,6.6
EP42-18-AL-02,EP42-18-AL-2,Perl 4,EP4,algae,algae,-131.3,,
EP42-18-AL-03,EP42-18-AL-3,Perl 4,EP4,algae,algae,-126.03,,
EP42-18-ALGAE-01,EP42-18-AL-1,Perl 4,EP4,algae,algae,-147.78,,
EP42-18-CC-01,EP42-18-CC-1,Perl 4,EP4,creek chub,cc,-101.15,,
EP42-18-CC-03,EP42-18-CC-3,Perl 4,EP4,creek chub,cc,-100.83,,
EP42-18-CC-07,EP42-18-CC-7,Perl 4,EP4,creek chub,cc,-98.38,,
EP42-18-CC-08,EP42-18-CC-8,Perl 4,EP4,creek chub,cc,-94.6,,
EP42-18-CC-09,EP42-18-CC-9,Perl 4,EP4,creek chub,cc,-107.18,,
EP42-18-CC-10,EP42-18-CC-10,Perl 4,EP4,creek chub,cc,-105.43,,
EP42-18-CC-11,EP42-18-CC-11,Perl 4,EP4,creek chub,cc,-96.11,,
EP42-18-CC-12,EP42-18-CC-12,Perl 4,EP4,creek chub,cc,-104.19,,
EP42-18-CC-13,EP42-18-CC-13,Perl 4,EP4,creek chub,cc,-100.72,,
EP42-18-DET-01,EP42-18-DET-1,Perl 4,EP4,detritus,det,-108.57,,
EP42-18-DT-02,EP42-18-DT-2,Perl 4,EP4,detritus,det,-107.58,,
EP42-18-DT-03,EP42-18-DT-3,Perl 4,EP4,detritus,det,-106.92,,
EP42-18-SC-01,EP42-18-SC-1,Perl 4,EP4,goldenrod,terpp,-161.41,,
EP42-18-SC-02,EP42-18-SC-2,Perl 4,EP4,goldenrod,terpp,-157.76,,
EP42-18-SC-03,EP42-18-SC-3,Perl 4,EP4,goldenrod,terpp,-158.48,,
EP42-18-SNAILS-01,EP42-18-SNAILS-1,Perl 4,EP4,european garden snail,terbase,-93.05,,
EP42-18-SNAILS-02,EP42-18-SNAILS-2,Perl 4,EP4,european garden snail,terbase,89.98,,
EP42-18-SNAILS-03,EP42-18-SNAILS-3,Perl 4,EP4,european garden snail,terbase,-83.7,,
FP-S18-163-1,FP-S18-163-1,Five Points,FP,white sucker,detritivore,-120.71,20912,6.2
FP-S18-281-2,FP-S18-281-2,Five Points,FP,brook stickleback,planktivore,-102.63,20082,6.2
FP-S18-281-5,FP-S18-281-5,Five Points,FP,brook stickleback,planktivore,-115.61,20061,6.2
FP-S18-281-6,FP-S18-281-6,Five Points,FP,brook stickleback,planktivore,-115.1,24248,6.3
FP-S18-630-1,FP-S18-630-1,Five Points,FP,blacknose dace,invertivore,-107.19,23517,7
FP-S18-630-3,FP-S18-630-3,Five Points,FP,blacknose dace,invertivore,-116.07,25750,6.6
FP-S18-630-7,FP-S18-630-7,Five Points,FP,blacknose dace,invertivore,-111.22,25367,7
FP-S18-DETRITUS-1,FP-S18-DETRITUS-1,Five Points,FP,detritus,det,-104.88,1842,4.9
FP-S18-DETRITUS-2,FP-S18-DETRITUS-2,Five Points,FP,detritus,det,-106.28,1736,4.5
FP-S18-DETRITUS-3,FP-S18-DETRITUS-3,Five Points,FP,detritus,det,-99.73,1556,4.3
FP-S18-EM-1,FP-S18-EM-1,Five Points,FP,emergent macrophyte,algae,-104.61,24930,5.6
FP-S18-EM-2,FP-S18-EM-2,Five Points,FP,emergent macrophyte,algae,-110.7,22850,5.5
FP-S18-GOLDENROD-1,FP-S18-GOLDENROD-1,Five Points,FP,goldenrod,terpp,-125.96,23532,5.6
FP-S18-GOLDENROD-2,FP-S18-GOLDENROD-2,Five Points,FP,goldenrod,terpp,-124.89,22686,5.7
FP-S18-GOLDENROD-3,FP-S18-GOLDENROD-3,Five Points,FP,goldenrod,terpp,-120.97,21985,5.6
FP-S18-SNAIL-1,FP-S18-SNAIL-1,Five Points,FP,european garden snail,terbase,-84.22,28240,6
FP-S18-SNAIL-2,FP-S18-SNAIL-2,Five Points,FP,european garden snail,terbase,-85.24,31288,6.3
FP-S18-SNAIL-3,FP-S18-SNAIL-3,Five Points,FP,european garden snail,terbase,-85,29850,6.3
GF-S18-208-1,GF-S18-208-1,Garrod Farm,GF,bluntnose minnow,detritivore,-129.39,25331,7
GF-S18-341-1,GF-S18-341-1,Garrod Farm,GF,johnny darter,invertivore,-107.36,22047,6.6
GF-S18-341-2,GF-S18-341-2,Garrod Farm,GF,johnny darter,invertivore,-131.18,14047,6.9
GF-S18-341-3,GF-S18-341-3,Garrod Farm,GF,johnny darter,invertivore,-133.68,14401,7
GF-S18-ALG-1,GF-S18-ALG-1,Garrod Farm,GF,algae,algae,-171.59,31915,1.9
GF-S18-ALG-2,GF-S18-ALG-2,Garrod Farm,GF,algae,algae,-172.88,27704,1.8
GF-S18-ALG-3,GF-S18-ALG-3,Garrod Farm,GF,algae,algae,-175.19,30690,1.9
GF-S18-CADDIS-1,GF-S18-CADDIS-1,Garrod Farm,GF,caddisfly,aqbase,-151.43,10652,2.8
GF-S18-CADDIS-2,GF-S18-CADDIS-2,Garrod Farm,GF,caddisfly,aqbase,-151.81,12027,2.8
GF-S18-CAT-1,GF-S18-CAT-1,Garrod Farm,GF,caterpillar,terbase,-98.72,25499,7.2
GF-S18-CAT-2,GF-S18-CAT-2,Garrod Farm,GF,caterpillar,terbase,-97.76,24230,6.4
GF-S18-CAT-3,GF-S18-CAT-3,Garrod Farm,GF,caterpillar,terbase,-97.97,25536,6.4
GF-S18-DET-1,GF-S18-DET-1,Garrod Farm,GF,detritus,det,-115.59,29785,4.3
GF-S18-DET-2,GF-S18-DET-2,Garrod Farm,GF,detritus,det,-108.61,31155,4.5
GF-S18-DET-3,GF-S18-DET-3,Garrod Farm,GF,detritus,det,-116.2,29365,4.2
GF-S18-GOL-1,GF-S18-GOL-1,Garrod Farm,GF,goldenrod,terpp,-128.82,21822,5.8
GF-S18-GOL-2,GF-S18-GOL-2,Garrod Farm,GF,goldenrod,terpp,-122.88,24393,5.7
GF-S18-GOL-3,GF-S18-GOL-3,Garrod Farm,GF,goldenrod,terpp,-126.34,24249,5.7
GF-S18-MAYFLY,GF-S18-MAYFLY,Garrod Farm,GF,mayfly,aqbase,-113.53,613,5.1
HC2-18-AL-01,HC2-18-AL-1,Hawkcliff,HC,algae,algae,-149.74,,
HC2-18-AL-02,HC2-18-AL-2,Hawkcliff,HC,algae,algae,-163.23,,
HC2-18-AL-03,HC2-18-AL-3,Hawkcliff,HC,algae,algae,-170.5,,
HC2-18-CATA-01,HC2-18-CATA-1,Hawkcliff,HC,caterpillar,terbase,-120.76,,
HC2-18-CATA-02,HC2-18-CATA-2,Hawkcliff,HC,caterpillar,terbase,-104.91,,
HC2-18-CATA-03,HC2-18-CATA-3,Hawkcliff,HC,caterpillar,terbase,-99.61,,
HC2-18-CC-06,HC2-18-CC-6,Hawkcliff,HC,creek chub,cc,-103.75,,
HC2-18-CC-13,HC2-18-CC-13,Hawkcliff,HC,creek chub,cc,-101.76,,
HC2-18-CC-18,HC2-18-CC-18,Hawkcliff,HC,creek chub,cc,-108.46,,
HC2-18-CC-19,HC2-18-CC-19,Hawkcliff,HC,creek chub,cc,-100.92,,
HC2-18-CC-20,HC2-18-CC-20,Hawkcliff,HC,creek chub,cc,-96.87,,
HC2-18-CC-35,HC2-18-CC-35,Hawkcliff,HC,creek chub,cc,-109.38,,
HC2-18-CC-43,HC2-18-CC-43,Hawkcliff,HC,creek chub,cc,-106.19,,
HC2-18-CC-44,HC2-18-CC-44,Hawkcliff,HC,creek chub,cc,-109.94,,
HC2-18-CC-49,HC2-18-CC-49,Hawkcliff,HC,creek chub,cc,-107.93,,
HC2-18-DET-01,HC2-18-DET-1,Hawkcliff,HC,detritus,det,-120.37,,
HC2-18-DET-02,HC2-18-DET-2,Hawkcliff,HC,detritus,det,-119.37,,
HC2-18-DET-03,HC2-18-DET-3,Hawkcliff,HC,detritus,det,-105.26,,
HC2-18-SC-01,HC2-18-SC-1,Hawkcliff,HC,goldenrod,terpp,-165.45,,
HC2-18-SC-02,HC2-18-SC-2,Hawkcliff,HC,goldenrod,terpp,-164.5,,
HC2-18-SC-03,HC2-18-SC-3,Hawkcliff,HC,goldenrod,terpp,-162.45,,
HC2-18-TR-01,HC2-18-TR-1,Hawkcliff,HC,caddisfly,aqbase,-122.59,,
HC2-18-TR-02,HC2-18-TR-2,Hawkcliff,HC,caddisfly,aqbase,-129.19,,
HC2-18-CC-41,HC2-18-CC-41,Hawkcliff,HC,creek chub,cc,-102.46,,
