old sampleid,sampleid,replicate,sitecode,species,role,delta13c,delta15n,c_n_ratio
EP2-S18-DET-2 B,EP2-S18-DET-2 B,1,EP2,detritus,det,-29.605,3.535,39.38950935
EP2-S18-DET-2 C,EP2-S18-DET-2 C,1,EP2,detritus,det,-29.615,3.61,36.53996618
EP2-S18-DET-2,EP2-S18-DET-2,0,EP2,detritus,det,-29.57466667,3.634666667,38.32779328
EP2-S18-DET-3,EP2-S18-DET-3,0,EP2,detritus,det,-29.335,3.812,36.61958144
EP2-S18-GOL-1,EP2-S18-GOL-1,0,EP2,goldenrod,terpp,-29.123,-0.419,17.79597433
EP2-S18-GOL-2,EP2-S18-GOL-2,0,EP2,goldenrod,terpp,-29.242,-0.255,17.80307945
EP2-S18-GOL-3,EP2-S18-GOL-3,0,EP2,goldenrod,terpp,-29.161,-0.331,17.81971451
EP3-S18-212-1,EP3-S18-212-1,0,EP3,creek chub,cc,-27.163,13.545,3.386669073
EP3-S18-212-10,EP3-S18-212-10,0,EP3,creek chub,cc,-25.872,11.139,3.269434181
EP3-S18-212-12,EP3-S18-212-12,0,EP3,creek chub,cc,-26.347,12.964,3.349803627
EP3-S18-212-16,EP3-S18-212-16,0,EP3,creek chub,cc,-26.94,12.536,3.59094025
EP3-S18-212-2,EP3-S18-212-2,0,EP3,creek chub,cc,-26.45,12.827,3.350541367
EP3-S18-212-26,EP3-S18-212-26,0,EP3,creek chub,cc,-26.601,11.255,3.401627566
EP3-S18-212-3,EP3-S18-212-3,0,EP3,creek chub,cc,-27.855,13.134,3.374315477
EP3-S18-212-4,EP3-S18-212-4,0,EP3,creek chub,cc,-26.052,12.636,3.339929329
EP3-S18-212-4 A,EP3-S18-212-4 A,1,EP3,creek chub,cc,-26.184,12.835,3.323449806
EP3-S18-212-4 B,EP3-S18-212-4 B,1,EP3,creek chub,cc,-26.166,12.794,3.256821434
EP3-S18-212-4,EP3-S18-212-4,0,EP3,creek chub,cc,-26.175,12.8145,3.29013562
EP3-S18-212-6,EP3-S18-212-6,0,EP3,creek chub,cc,-28.907,13.793,3.566827443
EP3-S18-212-7,EP3-S18-212-7,0,EP3,creek chub,cc,-27.181,12.418,3.550626318
EP3-S18-281-1,EP3-S18-281-1,0,EP3,brook stickleback,planktivore,-28.158,13.696,3.860746898
EP3-S18-281-3,EP3-S18-281-3,0,EP3,brook stickleback,planktivore,-29.262,14.173,3.8365738
EP3-S18-281-5,EP3-S18-281-5,0,EP3,brook stickleback,planktivore,-29.969,15.229,3.684448144
EP3-S18-630-1,EP3-S18-630-1,0,EP3,blacknose dace,invertivore,-28.553,13.941,3.438393672
EP3-S18-630-7,EP3-S18-630-7,0,EP3,blacknose dace,invertivore,-28.747,13.378,3.747397982
EP3-S18-630-9,EP3-S18-630-9,0,EP3,blacknose dace,invertivore,-27.9,12.681,3.634230997
EP3-S18-ALG-2,EP3-S18-ALG-2,0,EP3,algae,algae,-36.123,10.024,7.814497061
EP3-S18-ALG-3,EP3-S18-ALG-3,0,EP3,algae,algae,-36.347,9.991,7.446799844
EP3-S18-ALG-3,EP3-S18-ALG-1,0,EP4,algae,algae,-36.347,9.991,7.446799844
EP3-S18-DET-1,EP3-S18-DET-1,0,EP3,detritus,det,-26.654,5.879,23.76793701
EP3-S18-DET-2,EP3-S18-DET-2,0,EP3,detritus,det,-26.158,6.555818182,24.00156808
EP3-S18-DET-3,EP3-S18-DET-3,0,EP3,detritus,det,-25.978,6.317,24.79268293
EP3-S18-DET-3 A,EP3-S18-DET-3 A,1,EP3,detritus,det,-26.1,5.875636364,23.60567861
EP3-S18-DET-3 B,EP3-S18-DET-3 B,1,EP3,detritus,det,-26.362,5.525454545,24.61101933
EP3-S18-DET-3,EP3-S18-DET-3,0,EP3,detritus,det,-26.231,5.700545455,24.10834897
FP-S18-163-1,FP-S18-163-1,0,FP,white sucker,detritivore,-31.135,13.948,3.350066431
FP-S18-182-1,FP-S18-182-1,0,FP,northern redbelly dace,planktivore/invertivore,-31.334,14.452,3.319689566
FP-S18-182-2,FP-S18-182-2,0,FP,northern redbelly dace,planktivore/invertivore,-30.756,12.523,3.393289701
FP-S18-281-2,FP-S18-281-2,0,FP,brook stickleback,planktivore,-30.177,14.204,3.450233126
FP-S18-281-5,FP-S18-281-5,0,FP,brook stickleback,planktivore,-29.618,14.65,3.597739733
FP-S18-281-6,FP-S18-281-6,0,FP,brook stickleback,planktivore,-30.302,13.402,3.717567409
FP-S18-630-1,FP-S18-630-1,0,FP,blacknose dace,invertivore,-28.104,12.362,3.503415561
FP-S18-630-3 A,FP-S18-630-3 A,1,FP,blacknose dace,invertivore,-29.869,13.416,3.724120269
FP-S18-630-3 B,FP-S18-630-3 B,1,FP,blacknose dace,invertivore,-29.842,13.331,3.697014787
FP-S18-630-3 C,FP-S18-630-3 C,1,FP,blacknose dace,invertivore,-29.927,13.309,3.71228679
FP-S18-630-3,FP-S18-630-3,0,FP,blacknose dace,invertivore,-29.87933333,13.352,3.711140615
FP-S18-630-7,FP-S18-630-7,0,FP,blacknose dace,invertivore,-27.87,12.147,3.788654308
FP-S18-DETRITUS-1,FP-S18-DETRITUS-1,0,FP,detritus,det,-27.675,7.08,37.48609924
FP-S18-DETRITUS-2,FP-S18-DETRITUS-2,0,FP,detritus,det,-27.73,6.883,45.86054341
FP-S18-DETRITUS-3,FP-S18-DETRITUS-3,0,FP,detritus,det,-28.272,5.582,49.57344841
FP-S18-EM-1,FP-S18-EM-1,0,FP,emergent macrophyte,algae,-30.45342165,5.493899574,15.09552348
FP-S18-EM-1,FP-S18-EM-2,0,FP,emergent macrophyte,algae,-30.45342165,5.493899574,15.09552348
FP-S18-GOLDENROD-1,FP-S18-GOLDENROD-1,0,FP,goldenrod,terpp,-32.404,-0.148,15.81161627
FP-S18-GOLDENROD-2,FP-S18-GOLDENROD-2,0,FP,goldenrod,terpp,-32.464,-0.169,15.70026775
FP-S18-GOLDENROD-3,FP-S18-GOLDENROD-3,0,FP,goldenrod,terpp,-32.388,-0.117,15.71950084
