sitecode,sitename,pass,species,number,sampleid,forkmm,totalmm,weight,kept,sex,stomach,stomachsource,stomachTP
SC,Caughell,1,johnny darter,Bulk 1-27,,NA,25,0.15,N,,,,
SC,Caughell,1,johnny darter,Bulk 1-28,,NA,25,0.15,N,,,,
SC,Caughell,1,johnny darter,Bulk 1-29,,NA,25,0.15,N,,,,
SC,Caughell,1,johnny darter,Bulk 1-30,,NA,25,0.15,N,,,,
SC,Caughell,1,johnny darter,Bulk 1-31,,NA,25,0.15,N,,,,
SC,Caughell,1,johnny darter,Bulk 1-32,,NA,25,0.15,N,,,,
SC,Caughell,1,johnny darter,Bulk 1-33,,NA,25,0.15,N,,,,
SC,Caughell,1,johnny darter,Bulk 1-34,,NA,25,0.15,N,,,,
SC,Caughell,1,johnny darter,Bulk 1-35,,NA,25,0.15,N,,,,
SC,Caughell,1,johnny darter,Bulk 1-36,,NA,25,0.15,N,,,,
SC,Caughell,1,johnny darter,Bulk 1-37,,NA,25,0.15,N,,,,
SC,Caughell,1,johnny darter,Bulk 1-38,,NA,25,0.15,N,,,,
SC,Caughell,1,johnny darter,Bulk 1-39,,NA,25,0.15,N,,,,
SC,Caughell,1,johnny darter,Bulk 1-40,,NA,25,0.15,N,,,,
SC,Caughell,1,johnny darter,Bulk 1-41,,NA,25,0.15,N,,,,
SC,Caughell,1,johnny darter,Bulk 1-42,,NA,25,0.15,N,,,,
SC,Caughell,1,johnny darter,Bulk 1-43,,NA,25,0.15,N,,,,
SC,Caughell,1,johnny darter,Bulk 1-44,,NA,25,0.15,N,,,,
SC,Caughell,1,johnny darter,Bulk 1-45,,NA,25,0.15,N,,,,
SC,Caughell,1,johnny darter,Bulk 1-46,,NA,25,0.15,N,,,,
SC,Caughell,1,johnny darter,Bulk 1-47,,NA,25,0.15,N,,,,
SC,Caughell,1,johnny darter,Bulk 1-48,,NA,25,0.15,N,,,,
SC,Caughell,1,johnny darter,Bulk 1-49,,NA,25,0.15,N,,,,
SC,Caughell,1,johnny darter,Bulk 1-50,,NA,25,0.15,N,,,,
SC,Caughell,1,johnny darter,Bulk 1-51,,NA,25,0.15,N,,,,
SC,Caughell,1,johnny darter,Bulk 1-52,,NA,25,0.15,N,,,,
SC,Caughell,1,johnny darter,Bulk 1-53,,NA,25,0.15,N,,,,
SC,Caughell,1,johnny darter,Bulk 1-54,,NA,25,0.15,N,,,,
SC,Caughell,1,johnny darter,Bulk 1-55,,NA,25,0.15,N,,,,
SC,Caughell,1,johnny darter,Bulk 1-56,,NA,25,0.15,N,,,,
SC,Caughell,1,johnny darter,Bulk 1-57,,NA,25,0.15,N,,,,
SC,Caughell,1,johnny darter,Bulk 1-58,,NA,25,0.15,N,,,,
SC,Caughell,1,johnny darter,Bulk 1-59,,NA,25,0.15,N,,,,
SC,Caughell,1,johnny darter,Bulk 1-60,,NA,25,0.15,N,,,,
SC,Caughell,1,creek chub,7,SC-S18-212-7,64,68,3,Y,F,detritus/insects,unknown,1.5
SC,Caughell,1,johnny darter,31,SC-S18-341-31,NA,51,1,N,,,,
SC,Caughell,1,johnny darter,32,SC-S18-341-32,NA,50,1,N,,,,
SC,Caughell,1,johnny darter,33,SC-S18-341-33,NA,41,1,N,,,,
SC,Caughell,1,johnny darter,34,SC-S18-341-34,NA,45,1,N,,,,
SC,Caughell,1,creek chub,bulk1-1,,40,44,0.462962963,N,,,,
SC,Caughell,1,creek chub,bulk1-2,,40,44,0.462962963,N,,,,
SC,Caughell,1,creek chub,bulk1-3,,40,44,0.462962963,N,,,,
SC,Caughell,1,creek chub,bulk1-4,,40,44,0.462962963,N,,,,
SC,Caughell,1,creek chub,bulk1-5,,40,44,0.462962963,N,,,,
SC,Caughell,1,creek chub,bulk1-6,,40,44,0.462962963,N,,,,
SC,Caughell,1,creek chub,bulk1-7,,40,44,0.462962963,N,,,,
SC,Caughell,1,creek chub,bulk1-8,,40,44,0.462962963,N,,,,
SC,Caughell,1,creek chub,bulk1-9,,40,44,0.462962963,N,,,,
SC,Caughell,1,creek chub,bulk1-10,,40,44,0.462962963,N,,,,
SC,Caughell,1,creek chub,bulk1-11,,40,44,0.462962963,N,,,,
SC,Caughell,1,creek chub,bulk1-12,,40,44,0.462962963,N,,,,
SC,Caughell,1,creek chub,bulk1-13,,40,44,0.462962963,N,,,,
SC,Caughell,1,creek chub,bulk1-14,,40,44,0.462962963,N,,,,
SC,Caughell,1,creek chub,bulk1-15,,40,44,0.462962963,N,,,,
SC,Caughell,1,creek chub,bulk1-16,,40,44,0.462962963,N,,,,
SC,Caughell,1,creek chub,bulk1-17,,40,44,0.462962963,N,,,,
SC,Caughell,1,creek chub,bulk1-18,,40,44,0.462962963,N,,,,
SC,Caughell,1,creek chub,bulk1-19,,40,44,0.462962963,N,,,,
SC,Caughell,1,creek chub,bulk1-20,,40,44,0.462962963,N,,,,
SC,Caughell,1,creek chub,bulk1-21,,40,44,0.462962963,N,,,,
SC,Caughell,1,creek chub,bulk1-22,,40,44,0.462962963,N,,,,
SC,Caughell,1,creek chub,bulk1-23,,40,44,0.462962963,N,,,,
SC,Caughell,1,creek chub,bulk1-24,,40,44,0.462962963,N,,,,
SC,Caughell,1,creek chub,bulk1-25,,40,44,0.462962963,N,,,,
SC,Caughell,1,creek chub,bulk1-26,,40,44,0.462962963,N,,,,
SC,Caughell,1,creek chub,bulk1-27,,40,44,0.462962963,N,,,,
SC,Caughell,1,creek chub,bulk2-1,,26,28,0.125,N,,,,
SC,Caughell,1,creek chub,bulk2-2,,26,28,0.125,N,,,,
SC,Caughell,1,creek chub,bulk2-3,,26,28,0.125,N,,,,
SC,Caughell,1,creek chub,bulk2-4,,26,28,0.125,N,,,,
SC,Caughell,1,creek chub,bulk2-5,,26,28,0.125,N,,,,
SC,Caughell,1,creek chub,bulk2-6,,26,28,0.125,N,,,,
SC,Caughell,1,creek chub,bulk2-7,,26,28,0.125,N,,,,
SC,Caughell,1,creek chub,bulk2-8,,26,28,0.125,N,,,,
